,x,y,num
409,878,870,3714.0
410,888,874,3719.0
411,897,873,3724.0
412,907,882,3729.0
413,915,874,3734.0
414,927,865,3739.0
415,929,873,3744.0
416,927,875,3749.0
417,927,879,3754.0
418,926,886,3759.0
419,928,878,3764.0
420,931,879,3769.0
421,936,878,3774.0
422,932,888,3779.0
423,928,893,3784.0
424,949,895,3789.0
425,939,884,3794.0
426,941,879,3799.0
427,937,877,3804.0
428,938,882,3809.0
429,937,868,3814.0
430,936,865,3819.0
431,936,876,3824.0
432,934,876,3829.0
433,936,877,3834.0
434,938,887,3839.0
435,941,886,3844.0
436,944,880,3849.0
437,943,877,3854.0
438,941,876,3859.0
439,938,856,3864.0
440,935,858,3869.0
441,936,867,3874.0
442,939,874,3879.0
443,934,885,3884.0
444,933,889,3889.0
445,933,890,3894.0
446,933,890,3899.0
447,933,891,3904.0
448,935,893,3909.0
449,937,895,3914.0
450,937,890,3919.0
451,933,888,3924.0
452,936,890,3929.0
453,935,888,3934.0
454,929,887,3939.0
455,916,897,3944.0
456,914,896,3949.0
457,919,898,3954.0
458,919,899,3959.0
459,913,900,3964.0
460,908,906,3969.0
461,903,904,3974.0
462,898,913,3979.0
463,895,916,3984.0
464,882,909,3989.0
465,861,907,3994.0
466,847,921,3999.0
467,823,935,4004.0
468,821,937,4009.0
469,804,947,4014.0
470,774,945,4019.0
471,756,944,4024.0
472,758,946,4029.0
473,758,946,4034.0
474,758,946,4039.0
475,759,946,4044.0
476,757,946,4049.0
477,759,946,4054.0
478,750,945,4059.0
479,751,944,4064.0
480,745,942,4069.0
481,726,939,4074.0
482,729,941,4079.0
483,716,943,4084.0
484,701,942,4089.0
485,681,943,4094.0
486,683,949,4099.0
487,655,948,4104.0
488,604,948,4109.0
489,600,951,4114.0
490,618,952,4119.0
491,618,952,4124.0
492,631,958,4129.0
493,631,958,4134.0
494,631,958,4139.0
495,632,961,4144.0
496,621,964,4149.0
497,616,967,4154.0
498,620,967,4159.0
499,606,970,4164.0
500,611,973,4169.0
501,610,974,4174.0
502,590,975,4179.0
503,591,974,4184.0
504,591,974,4189.0
505,596,974,4194.0
506,597,973,4199.0
507,582,966,4204.0
508,599,966,4209.0
509,586,958,4214.0
510,568,957,4219.0
511,551,952,4224.0
512,517,954,4229.0
513,519,952,4234.0
514,505,951,4239.0
515,489,950,4244.0
516,474,952,4249.0
517,465,948,4254.0
518,450,934,4259.0
519,442,921,4264.0
520,432,902,4269.0
521,405,891,4274.0
522,385,866,4279.0
523,351,840,4284.0
524,332,819,4289.0
525,307,809,4294.0
526,292,783,4299.0
527,281,776,4304.0
528,280,777,4309.0
529,292,776,4314.0
530,293,775,4319.0
531,293,775,4324.0
532,291,772,4329.0
533,291,771,4334.0
534,288,771,4339.0
535,273,774,4344.0
536,272,780,4349.0
537,260,796,4354.0
538,240,797,4359.0
539,222,802,4364.0
540,181,789,4369.0
541,156,775,4374.0
542,136,782,4379.0
543,122,769,4384.0
544,104,779,4389.0
545,93,775,4394.0
546,87,774,4399.0
547,80,781,4404.0
548,74,788,4409.0
549,73,766,4414.0
550,69,759,4419.0
551,68,748,4424.0
552,58,710,4429.0
553,54,688,4434.0
554,54,654,4439.0
555,58,618,4444.0
556,54,597,4449.0
557,48,543,4454.0
558,45,498,4459.0
559,42,503,4464.0
560,37,454,4469.0
561,50,439,4474.0
562,49,407,4479.0
563,46,391,4484.0
564,43,380,4489.0
565,47,375,4494.0
566,51,376,4499.0
567,52,366,4504.0
568,51,360,4509.0
569,61,348,4514.0
570,67,302,4519.0
571,75,267,4524.0
572,76,255,4529.0
573,75,206,4534.0
574,74,166,4539.0
575,81,161,4544.0
576,86,140,4549.0
577,94,121,4554.0
578,91,114,4559.0
579,92,108,4564.0
580,85,99,4569.0
581,88,92,4574.0
582,96,94,4579.0
583,100,92,4584.0
584,108,88,4589.0
585,115,84,4594.0
586,124,81,4599.0
587,123,79,4604.0
588,132,71,4609.0
589,143,66,4614.0
590,142,63,4619.0
591,161,64,4624.0
592,163,61,4629.0
593,161,66,4634.0
594,157,61,4639.0
595,138,61,4644.0
596,138,61,4649.0
597,139,60,4654.0
598,136,54,4659.0
599,137,55,4664.0
600,142,57,4669.0
601,142,57,4674.0
602,139,53,4679.0
603,126,53,4684.0
604,127,55,4689.0
605,123,54,4694.0
606,126,57,4699.0
607,123,54,4704.0
608,126,57,4709.0
609,121,63,4714.0
610,127,59,4719.0
611,122,60,4724.0
612,127,63,4729.0
613,128,64,4734.0
614,127,63,4739.0
615,125,61,4744.0
616,125,61,4749.0
617,123,62,4754.0
618,116,63,4759.0
619,108,59,4764.0
620,98,56,4769.0
621,90,45,4774.0
622,83,39,4779.0
623,77,36,4784.0
624,71,41,4789.0
625,61,31,4794.0
626,77,26,4799.0
627,71,21,4804.0
628,71,21,4809.0
629,71,21,4814.0
630,71,21,4819.0
631,71,21,4824.0
632,73,23,4829.0
633,69,45,4834.0
634,79,30,4839.0
635,74,46,4844.0
636,72,45,4849.0
637,81,39,4854.0
638,75,38,4859.0
639,74,46,4864.0
640,83,48,4869.0
641,91,51,4874.0
642,92,56,4879.0
643,105,55,4884.0
644,122,57,4889.0
645,128,57,4894.0
646,144,60,4899.0
647,168,56,4904.0
648,192,57,4909.0
649,223,55,4914.0
650,251,53,4919.0
651,279,58,4924.0
652,283,51,4929.0
653,331,55,4934.0
654,348,51,4939.0
655,375,55,4944.0
656,394,59,4949.0
657,427,59,4954.0
658,440,68,4959.0
659,466,72,4964.0
660,481,80,4969.0
661,515,91,4974.0
662,535,109,4979.0
663,535,114,4984.0
664,542,136,4989.0
665,556,147,4994.0
666,580,160,4999.0
667,585,175,5004.0
668,602,190,5009.0
669,617,196,5014.0
670,629,231,5019.0
671,642,240,5024.0
672,643,255,5029.0
673,662,263,5034.0
674,681,265,5039.0
675,709,271,5044.0
676,721,268,5049.0
677,749,289,5054.0
678,791,288,5059.0
679,827,299,5064.0
680,849,299,5069.0
681,887,322,5074.0
682,912,322,5079.0
683,926,328,5084.0
684,929,327,5089.0
685,933,325,5094.0
686,933,312,5099.0
687,933,301,5104.0
688,939,318,5109.0
689,942,334,5114.0
690,939,329,5119.0
691,959,316,5124.0
692,972,296,5129.0
693,947,382,5134.0
694,968,335,5139.0
695,963,341,5144.0
696,960,335,5149.0
697,926,370,5154.0
698,938,381,5159.0
699,926,366,5164.0
700,932,374,5169.0
701,946,327,5174.0
702,945,365,5179.0
703,942,380,5184.0
704,939,396,5189.0
705,942,429,5194.0
706,951,460,5199.0
707,945,495,5204.0
708,951,527,5209.0
709,953,565,5214.0
710,958,591,5219.0
711,958,626,5224.0
712,955,622,5229.0
713,953,619,5234.0
714,955,634,5239.0
715,958,635,5244.0
716,958,635,5249.0
717,961,637,5254.0
718,962,638,5259.0
719,964,651,5264.0
720,960,649,5269.0
721,955,667,5274.0
722,954,688,5279.0
723,946,703,5284.0
724,935,738,5289.0
725,918,777,5294.0
726,901,793,5299.0
727,883,804,5304.0
728,868,834,5309.0
729,851,851,5314.0
730,828,851,5319.0
731,819,860,5324.0
732,817,856,5329.0
733,813,865,5334.0
734,812,861,5339.0
735,796,865,5344.0
736,806,864,5349.0
737,805,863,5354.0
738,791,853,5359.0
739,769,861,5364.0
740,764,862,5369.0
741,733,855,5374.0
742,696,856,5379.0
743,639,843,5384.0
744,605,845,5389.0
745,555,827,5394.0
746,504,826,5399.0
747,456,812,5404.0
748,420,803,5409.0
749,373,811,5414.0
750,355,802,5419.0
751,346,792,5424.0
752,324,788,5429.0
753,312,788,5434.0
754,288,779,5439.0
755,286,776,5444.0
756,281,782,5449.0
757,267,772,5454.0
758,276,790,5459.0
759,293,785,5464.0
760,290,785,5469.0
761,288,770,5474.0
762,290,787,5479.0
763,283,797,5484.0
764,280,790,5489.0
765,292,790,5494.0
766,301,785,5499.0
767,303,787,5504.0
768,293,792,5509.0
769,287,799,5514.0
770,327,784,5519.0
771,309,792,5524.0
772,320,778,5529.0
773,307,780,5534.0
774,292,793,5539.0
775,265,787,5544.0
776,249,794,5549.0
777,241,784,5554.0
778,258,776,5559.0
779,266,743,5564.0
780,259,733,5569.0
781,228,698,5574.0
782,207,672,5579.0
783,178,645,5584.0
784,156,615,5589.0
785,140,602,5594.0
786,129,582,5599.0
787,118,563,5604.0
788,107,546,5609.0
789,102,535,5614.0
790,95,522,5619.0
791,96,508,5624.0
792,91,500,5629.0
793,86,484,5634.0
794,87,468,5639.0
795,86,466,5644.0
796,81,460,5649.0
797,73,449,5654.0
798,68,441,5659.0
799,65,430,5664.0
800,63,436,5669.0
801,59,420,5674.0
802,59,419,5679.0
803,58,406,5684.0
804,50,406,5689.0
805,51,406,5694.0
806,51,405,5699.0
807,51,406,5704.0
808,45,392,5709.0
809,44,373,5714.0
810,41,392,5719.0
811,39,391,5724.0
812,39,391,5729.0
813,39,391,5734.0
814,39,391,5739.0
815,40,391,5744.0
816,39,391,5749.0
817,42,393,5754.0
818,43,393,5759.0
819,44,393,5764.0
820,45,392,5769.0
821,46,392,5774.0
822,47,400,5779.0
823,43,414,5784.0
824,50,406,5789.0
825,58,365,5794.0
826,57,369,5799.0
827,60,370,5804.0
828,62,367,5809.0
829,69,333,5814.0
830,74,342,5819.0
831,77,351,5824.0
832,83,339,5829.0
833,86,308,5834.0
834,84,309,5839.0
835,95,287,5844.0
836,88,276,5849.0
837,95,261,5854.0
838,105,262,5859.0
839,122,252,5864.0
840,133,253,5869.0
841,133,252,5874.0
842,121,259,5879.0
843,113,273,5884.0
844,109,270,5889.0
845,107,269,5894.0
846,108,269,5899.0
847,111,272,5904.0
848,112,275,5909.0
849,113,278,5914.0
850,115,276,5919.0
851,115,278,5924.0
852,117,273,5929.0
853,114,281,5934.0
854,115,279,5939.0
855,115,281,5944.0
856,118,270,5949.0
857,122,269,5954.0
858,124,267,5959.0
859,124,268,5964.0
860,122,270,5969.0
861,117,270,5974.0
862,122,269,5979.0
863,121,268,5984.0
864,124,268,5989.0
865,125,268,5994.0
866,125,267,5999.0
867,125,266,6004.0
868,132,249,6009.0
869,133,250,6014.0
870,132,245,6019.0
871,120,260,6024.0
872,128,256,6029.0
873,134,243,6034.0
874,137,237,6039.0
875,147,230,6044.0
876,148,226,6049.0
877,165,214,6054.0
878,178,192,6059.0
879,194,179,6064.0
880,244,165,6069.0
881,257,138,6074.0
882,275,105,6079.0
883,277,82,6084.0
884,288,69,6089.0
885,287,66,6094.0
886,288,63,6099.0
887,280,59,6104.0
888,279,58,6109.0
889,270,62,6114.0
890,277,66,6119.0
891,278,54,6124.0
892,270,56,6129.0
893,248,56,6134.0
894,244,61,6139.0
895,262,56,6144.0
896,252,59,6149.0
897,265,60,6154.0
