,x,y,num
1288,889,939,8223.0
1289,889,945,8228.0
1290,867,940,8233.0
1291,856,947,8238.0
1292,818,950,8243.0
1293,810,949,8248.0
1294,804,944,8253.0
1295,734,953,8258.0
1296,728,952,8263.0
1297,719,949,8268.0
1298,688,956,8273.0
1299,673,955,8278.0
1300,658,954,8283.0
1301,636,956,8288.0
1302,620,950,8293.0
1303,622,953,8298.0
1304,620,950,8303.0
1305,622,953,8308.0
1306,621,953,8313.0
1307,606,953,8318.0
1308,596,952,8323.0
1309,595,952,8328.0
1310,595,952,8333.0
1311,593,952,8338.0
1312,594,952,8343.0
1313,595,952,8348.0
1314,594,952,8353.0
1315,595,952,8358.0
1316,597,951,8363.0
1317,597,951,8368.0
1318,613,950,8373.0
1319,629,954,8378.0
1320,629,954,8383.0
1321,629,954,8388.0
1322,657,957,8393.0
1323,659,956,8398.0
1324,642,954,8403.0
1325,637,953,8408.0
1326,625,948,8413.0
1327,628,946,8418.0
1328,624,947,8423.0
1329,623,946,8428.0
1330,627,945,8433.0
1331,627,945,8438.0
1332,643,947,8443.0
1333,643,947,8448.0
1334,625,945,8453.0
1335,624,945,8458.0
1336,624,946,8463.0
1337,633,948,8468.0
1338,627,945,8473.0
1339,631,946,8478.0
1340,631,947,8483.0
1341,643,948,8488.0
1342,643,947,8493.0
1343,640,950,8498.0
1344,624,952,8503.0
1345,624,947,8508.0
1346,626,943,8513.0
1347,625,946,8518.0
1348,627,945,8523.0
1349,626,944,8528.0
1350,624,943,8533.0
1351,627,944,8538.0
1352,626,941,8543.0
1353,621,944,8548.0
1354,619,943,8553.0
1355,619,941,8558.0
1356,624,940,8563.0
1357,625,936,8568.0
1358,610,936,8573.0
1359,609,935,8578.0
1360,609,931,8583.0
1361,612,930,8588.0
1362,612,927,8593.0
1363,622,920,8598.0
1364,611,912,8603.0
1365,605,912,8608.0
1366,598,908,8613.0
1367,585,901,8618.0
1368,581,898,8623.0
1369,580,898,8628.0
1370,578,898,8633.0
1371,570,897,8638.0
1372,572,895,8643.0
1373,563,890,8648.0
1374,558,898,8653.0
1375,550,900,8658.0
1376,558,904,8663.0
1377,561,910,8668.0
1378,563,911,8673.0
1379,563,909,8678.0
1380,560,912,8683.0
1381,561,913,8688.0
1382,558,914,8693.0
1383,567,920,8698.0
1384,584,927,8703.0
1385,612,939,8708.0
1386,642,942,8713.0
1387,655,942,8718.0
1388,654,946,8723.0
1389,673,946,8728.0
1390,673,948,8733.0
